dim 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
dim 1
1 0 1
2 0 1
2 1 1
3 0 1
3 1 1
3 2 1
4 0 1
4 1 1
4 2 1
4 3 1
5 0 1
5 1 1
5 2 1
5 3 1
5 4 1
6 0 1
6 1 1
6 2 1
6 3 1
6 4 1
6 5 1
7 0 1
7 1 1
7 2 1
7 3 1
7 4 1
7 5 1
7 6 1
8 0 1
8 1 1
8 2 1
8 3 1
8 4 1
8 5 1
8 6 1
8 7 1
9 0 1
9 1 1
9 2 1
9 3 1
9 4 1
9 5 1
9 6 1
9 7 1
9 8 1
10 0 1
10 1 1
10 2 1
10 3 1
10 4 1
10 5 1
10 6 1
10 7 1
10 8 1
10 9 1
11 0 1
11 1 1
11 2 1
11 3 1
11 4 1
11 5 1
11 6 1
11 7 1
11 8 1
11 9 1
11 10 1
12 0 1
12 1 1
12 2 1
12 3 1
12 4 1
12 5 1
12 6 1
12 7 1
12 8 1
12 9 1
12 10 1
12 11 1
13 0 1
13 1 1
13 2 1
13 3 1
13 4 1
13 5 1
13 6 1
13 7 1
13 8 1
13 9 1
13 10 1
13 11 1
13 12 1
14 0 1
14 1 1
14 2 1
14 3 1
14 4 1
14 5 1
14 6 1
14 7 1
14 8 1
14 9 1
14 10 1
14 11 1
14 12 1
14 13 1
15 0 1
15 1 1
15 2 1
15 3 1
15 4 1
15 5 1
15 6 1
15 7 1
15 8 1
15 9 1
15 10 1
15 11 1
15 12 1
15 13 1
15 14 1
16 0 1
16 1 1
16 2 1
16 3 1
16 4 1
16 5 1
16 6 1
16 7 1
16 8 1
16 9 1
16 10 1
16 11 1
16 12 1
16 13 1
16 14 1
16 15 1
17 0 1
17 1 1
17 2 1
17 3 1
17 4 1
17 5 1
17 6 1
17 7 1
17 8 1
17 9 1
17 10 1
17 11 1
17 12 1
17 13 1
17 14 1
17 15 1
17 16 1
18 0 1
18 1 1
18 2 1
18 3 1
18 4 1
18 5 1
18 6 1
18 7 1
18 8 1
18 9 1
18 10 1
18 11 1
18 12 1
18 13 1
18 14 1
18 15 1
18 16 1
18 17 1
19 0 1
19 1 1
19 2 1
19 3 1
19 4 1
19 5 1
19 6 1
19 7 1
19 8 1
19 9 1
19 10 1
19 11 1
19 12 1
19 13 1
19 14 1
19 15 1
19 16 1
19 17 1
19 18 1
20 0 1
20 1 1
20 2 1
20 3 1
20 4 1
20 5 1
20 6 1
20 7 1
20 8 1
20 9 1
20 10 1
20 11 1
20 12 1
20 13 1
20 14 1
20 15 1
20 16 1
20 17 1
20 18 1
20 19 1
21 0 1
21 1 1
21 2 1
21 3 1
21 4 1
21 5 1
21 6 1
21 7 1
21 8 1
21 9 1
21 10 1
21 11 1
21 12 1
21 13 1
21 14 1
21 15 1
21 16 1
21 17 1
21 18 1
21 19 1
21 20 1
22 0 1
22 1 1
22 2 1
22 3 1
22 4 1
22 5 1
22 6 1
22 7 1
22 8 1
22 9 1
22 10 1
22 11 1
22 12 1
22 13 1
22 14 1
22 15 1
22 16 1
22 17 1
22 18 1
22 19 1
22 20 1
22 21 1
23 0 1
23 1 1
23 2 1
23 3 1
23 4 1
23 5 1
23 6 1
23 7 1
23 8 1
23 9 1
23 10 1
23 11 1
23 12 1
23 13 1
23 14 1
23 15 1
23 16 1
23 17 1
23 18 1
23 19 1
23 20 1
23 21 1
23 22 1
24 0 1
24 1 1
24 2 1
24 3 1
24 4 1
24 5 1
24 6 1
24 7 1
24 8 1
24 9 1
24 10 1
24 11 1
24 12 1
24 13 1
24 14 1
24 15 1
24 16 1
24 17 1
24 18 1
24 19 1
24 20 1
24 21 1
24 22 1
24 23 1
25 0 1
25 1 1
25 2 1
25 3 1
25 4 1
25 5 1
25 6 1
25 7 1
25 8 1
25 9 1
25 10 1
25 11 1
25 12 1
25 13 1
25 14 1
25 15 1
25 16 1
25 17 1
25 18 1
25 19 1
25 20 1
25 21 1
25 22 1
25 23 1
25 24 1
26 0 1
26 1 1
26 2 1
26 3 1
26 4 1
26 5 1
26 6 1
26 7 1
26 8 1
26 9 1
26 10 1
26 11 1
26 12 1
26 13 1
26 14 1
26 15 1
26 16 1
26 17 1
26 18 1
26 19 1
26 20 1
26 21 1
26 22 1
26 23 1
26 24 1
26 25 1
27 0 1
27 1 1
27 2 1
27 3 1
27 4 1
27 5 1
27 6 1
27 7 1
27 8 1
27 9 1
27 10 1
27 11 1
27 12 1
27 13 1
27 14 1
27 15 1
27 16 1
27 17 1
27 18 1
27 19 1
27 20 1
27 21 1
27 22 1
27 23 1
27 24 1
27 25 1
27 26 1
28 0 1
28 1 1
28 2 1
28 3 1
28 4 1
28 5 1
28 6 1
28 7 1
28 8 1
28 9 1
28 10 1
28 11 1
28 12 1
28 13 1
28 14 1
28 15 1
28 16 1
28 17 1
28 18 1
28 19 1
28 20 1
28 21 1
28 22 1
28 23 1
28 24 1
28 25 1
28 26 1
28 27 1
29 0 1
29 1 1
29 2 1
29 3 1
29 4 1
29 5 1
29 6 1
29 7 1
29 8 1
29 9 1
29 10 1
29 11 1
29 12 1
29 13 1
29 14 1
29 15 1
29 16 1
29 17 1
29 18 1
29 19 1
29 20 1
29 21 1
29 22 1
29 23 1
29 24 1
29 25 1
29 26 1
29 27 1
29 28 1
30 0 1
30 1 1
30 2 1
30 3 1
30 4 1
30 5 1
30 6 1
30 7 1
30 8 1
30 9 1
30 10 1
30 11 1
30 12 1
30 13 1
30 14 1
30 15 1
30 16 1
30 17 1
30 18 1
30 19 1
30 20 1
30 21 1
30 22 1
30 23 1
30 24 1
30 25 1
30 26 1
30 27 1
30 28 1
30 29 1
31 0 1
31 1 1
31 2 1
31 3 1
31 4 1
31 5 1
31 6 1
31 7 1
31 8 1
31 9 1
31 10 1
31 11 1
31 12 1
31 13 1
31 14 1
31 15 1
31 16 1
31 17 1
31 18 1
31 19 1
31 20 1
31 21 1
31 22 1
31 23 1
31 24 1
31 25 1
31 26 1
31 27 1
31 28 1
31 29 1
31 30 1
32 0 1
32 1 1
32 2 1
32 3 1
32 4 1
32 5 1
32 6 1
32 7 1
32 8 1
32 9 1
32 10 1
32 11 1
32 12 1
32 13 1
32 14 1
32 15 1
32 16 1
32 17 1
32 18 1
32 19 1
32 20 1
32 21 1
32 22 1
32 23 1
32 24 1
32 25 1
32 26 1
32 27 1
32 28 1
32 29 1
32 30 1
32 31 1
33 0 1
33 1 1
33 2 1
33 3 1
33 4 1
33 5 1
33 6 1
33 7 1
33 8 1
33 9 1
33 10 1
33 11 1
33 12 1
33 13 1
33 14 1
33 15 1
33 16 1
33 17 1
33 18 1
33 19 1
33 20 1
33 21 1
33 22 1
33 23 1
33 24 1
33 25 1
33 26 1
33 27 1
33 28 1
33 29 1
33 30 1
33 31 1
33 32 1
34 0 1
34 1 1
34 2 1
34 3 1
34 4 1
34 5 1
34 6 1
34 7 1
34 8 1
34 9 1
34 10 1
34 11 1
34 12 1
34 13 1
34 14 1
34 15 1
34 16 1
34 17 1
34 18 1
34 19 1
34 20 1
34 21 1
34 22 1
34 23 1
34 24 1
34 25 1
34 26 1
34 27 1
34 28 1
34 29 1
34 30 1
34 31 1
34 32 1
34 33 1
35 0 1
35 1 1
35 2 1
35 3 1
35 4 1
35 5 1
35 6 1
35 7 1
35 8 1
35 9 1
35 10 1
35 11 1
35 12 1
35 13 1
35 14 1
35 15 1
35 16 1
35 17 1
35 18 1
35 19 1
35 20 1
35 21 1
35 22 1
35 23 1
35 24 1
35 25 1
35 26 1
35 27 1
